Index,Sensor,Pump,Delivery,Needle,Insulin,Sugar Level
1,TRUE,TRUE,TRUE,TRUE,TRUE,5
2,TRUE,TRUE,TRUE,TRUE,TRUE,5
3,TRUE,TRUE,TRUE,TRUE,TRUE,6
4,TRUE,TRUE,TRUE,TRUE,TRUE,7
5,TRUE,TRUE,TRUE,TRUE,TRUE,8
6,TRUE,TRUE,TRUE,TRUE,TRUE,7
7,TRUE,TRUE,TRUE,TRUE,TRUE,7
8,TRUE,TRUE,TRUE,TRUE,TRUE,6
9,TRUE,TRUE,TRUE,TRUE,TRUE,5
10,TRUE,TRUE,TRUE,TRUE,TRUE,4
11,TRUE,TRUE,TRUE,TRUE,TRUE,3
12,TRUE,TRUE,TRUE,TRUE,TRUE,2
13,TRUE,TRUE,TRUE,TRUE,TRUE,3
14,TRUE,TRUE,TRUE,TRUE,TRUE,4
15,TRUE,TRUE,TRUE,TRUE,TRUE,5
16,TRUE,TRUE,TRUE,TRUE,TRUE,5
17,TRUE,TRUE,TRUE,TRUE,TRUE,6
18,TRUE,TRUE,TRUE,TRUE,TRUE,8
19,FALSE,TRUE,TRUE,TRUE,TRUE,6
